"","launched_at","total_pledged","cumsum"
"243",2020-07-16,488095.22,820831745.47
"244",2020-07-17,2199062.43,823030807.9
"245",2020-07-18,117092.9,823147900.8
"246",2020-07-19,98042.74,823245943.54
"247",2020-07-20,3177516.45,826423459.99
"248",2020-07-21,5308312.59,831731772.58
"249",2020-07-22,1094193.81,832825966.39
"250",2020-07-23,1892762.71,834718729.1
"251",2020-07-24,853120.15,835571849.25
"252",2020-07-25,884591.92,836456441.17
"253",2020-07-26,604815.33,837061256.5
"254",2020-07-27,310754682.32,1147815938.82
"255",2020-07-28,3493061.1,1151308999.92
"256",2020-07-29,4607496.05,1155916495.97
"257",2020-07-30,5077796.22,1160994292.19
"258",2020-07-31,5089903.81,1166084196
"259",2020-08-01,7451606.71,1173535802.71
"260",2020-08-02,102138.49,1173637941.2
"261",2020-08-03,3084906.15,1176722847.35
"262",2020-08-04,4554299.41,1181277146.76
"263",2020-08-05,66557444.29,1247834591.05
"264",2020-08-06,741841.7,1248576432.75
"265",2020-08-07,912981.79,1249489414.54
"266",2020-08-08,352521.56,1249841936.1
"267",2020-08-09,2271790.31,1252113726.41
"268",2020-08-10,1620687.32,1253734413.73
"269",2020-08-11,21520059.98,1275254473.71
"270",2020-08-12,3642067.69,1278896541.4
"271",2020-08-13,792291.72,1279688833.12
"272",2020-08-14,62469.09,1279751302.21
"273",2020-08-15,54658.49,1279805960.7
"274",2020-08-16,304855.22,1280110815.92
"275",2020-08-17,628307.36,1280739123.28
"276",2020-08-18,7057455.9,1287796579.18
"277",2020-08-19,2305534.84,1290102114.02
"278",2020-08-20,1700010.22,1291802124.24
"279",2020-08-21,316687.36,1292118811.6
"280",2020-08-22,322923.8,1292441735.4
"281",2020-08-23,413614,1292855349.4
"282",2020-08-24,2829336.06,1295684685.46
"283",2020-08-25,4234765.92,1299919451.38
"284",2020-08-26,5190038.28,1305109489.66
"285",2020-08-27,1414114.98,1306523604.64
"286",2020-08-28,741990.61,1307265595.25
"287",2020-08-29,691157.01,1307956752.26
"288",2020-08-30,5984559.22,1313941311.48
"289",2020-08-31,2199142.51,1316140453.99
"290",2020-09-01,8215540.52,1324355994.51
"291",2020-09-02,1528116.59,1325884111.1
"292",2020-09-03,4419266.83,1330303377.93
"293",2020-09-04,996479.08,1331299857.01
"294",2020-09-05,529320.63,1331829177.64
"295",2020-09-06,257379.37,1332086557.01
"296",2020-09-07,596304.61,1332682861.62
"297",2020-09-08,24070560.87,1356753422.49
"298",2020-09-09,3080687.66,1359834110.15
"299",2020-09-10,1643445.45,1361477555.6
"300",2020-09-11,274277.04,1361751832.64
"301",2020-09-12,2982974.56,1364734807.2
"302",2020-09-13,169563.51,1364904370.71
"303",2020-09-14,1642253.92,1366546624.63
"304",2020-09-15,7244919.49,1373791544.12
"305",2020-09-16,7928060.5,1381719604.62
"306",2020-09-17,3324913.61,1385044518.23
"307",2020-09-18,1139106.8,1386183625.03
"308",2020-09-19,229514.31,1386413139.34
"309",2020-09-20,143894.85,1386557034.19
"310",2020-09-21,1965901.02,1388522935.21
"311",2020-09-22,18413992.65,1406936927.86
"312",2020-09-23,8822176.86,1415759104.72
"313",2020-09-24,2426158.99,1418185263.71
"314",2020-09-25,472042.79,1418657306.5
"315",2020-09-26,129711.58,1418787018.08
"316",2020-09-27,746410.64,1419533428.72
"317",2020-09-28,2127627.73,1421661056.45
"318",2020-09-29,9973480.85,1431634537.3
"319",2020-09-30,4944216.96,1436578754.26
"320",2020-10-01,3542208.25,1440120962.51
"321",2020-10-02,399996.7,1440520959.21
"322",2020-10-03,329959.41,1440850918.62
"323",2020-10-04,265597.28,1441116515.9
"324",2020-10-05,27841546.52,1468958062.42
"325",2020-10-06,12265463.55,1481223525.97
"326",2020-10-07,2988335.83,1484211861.8
"327",2020-10-08,3406089.93,1487617951.73
"328",2020-10-09,554177.39,1488172129.12
"329",2020-10-10,329315.16,1488501444.28
"330",2020-10-11,316589.37,1488818033.65
"331",2020-10-12,1080004.63,1489898038.28
"332",2020-10-13,11023017.21,1500921055.49
"333",2020-10-14,2780825.9,1503701881.39
"334",2020-10-15,3009085.51,1506710966.9
"335",2020-10-16,1852724.69,1508563691.59
"336",2020-10-17,5528021.22,1514091712.81
"337",2020-10-18,293942.9,1514385655.71
"338",2020-10-19,5405525.81,1519791181.52
"339",2020-10-20,10221789.52,1530012971.04
"340",2020-10-21,1014973.34,1531027944.38
"341",2020-10-22,1304814.5,1532332758.88
"342",2020-10-23,1726521.37,1534059280.25
"343",2020-10-24,1846596.16,1535905876.41
"344",2020-10-25,1179279.69,1537085156.1
"345",2020-10-26,1246230.79,1538331386.89
"346",2020-10-27,3962318.39,1542293705.28
"347",2020-10-28,4133088.18,1546426793.46
"348",2020-10-29,3067947.33,1549494740.79
"349",2020-10-30,1845658.56,1551340399.35
"350",2020-10-31,599678.8,1551940078.15
"351",2020-11-01,634804.4,1552574882.55
"352",2020-11-02,4087485.76,1556662368.31
"353",2020-11-03,1561486.75,1558223855.06
"354",2020-11-04,2500603.52,1560724458.58
"355",2020-11-05,3411960.27,1564136418.85
"356",2020-11-06,247389.03,1564383807.88
"357",2020-11-07,252098.29,1564635906.17
"358",2020-11-08,354972.93,1564990879.1
"359",2020-11-09,623719.37,1565614598.47
"360",2020-11-10,3634983.41,1569249581.88
"361",2020-11-11,2035490.88,1571285072.76
"362",2020-11-12,55256061.45,1626541134.21
"363",2020-11-13,443099.78,1626984233.99
"364",2020-11-14,201216.68,1627185450.67
"365",2020-11-15,242996,1627428446.67
"366",2020-11-16,528650.73,1627957097.4
"367",2020-11-17,7035018.24,1634992115.64
"368",2020-11-18,18893759.57,1653885875.21
"369",2020-11-19,8314230.02,1662200105.23
"370",2020-11-20,623597.04,1662823702.27
"371",2020-11-21,730371.04,1663554073.31
"372",2020-11-22,178732.17,1663732805.48
"373",2020-11-23,770317.85,1664503123.33
"374",2020-11-24,2604535.85,1667107659.18
"375",2020-11-25,1128240.02,1668235899.2
"376",2020-11-26,581248.76,1668817147.96
"377",2020-11-27,1823007.15,1670640155.11
"378",2020-11-28,164160.18,1670804315.29
"379",2020-11-29,161185.72,1670965501.01
"380",2020-11-30,1414763.81,1672380264.82
"381",2020-12-01,3736694.02,1676116958.84
"382",2020-12-02,9610319.81,1685727278.65
"383",2020-12-03,721585.44,1686448864.09
"384",2020-12-04,3481508.96,1689930373.05
"385",2020-12-05,268520.38,1690198893.43
"386",2020-12-06,273196.58,1690472090.01
"387",2020-12-07,731387.65,1691203477.66
"388",2020-12-08,6140517.08,1697343994.74
"389",2020-12-09,4143166.04,1701487160.78
"390",2020-12-10,739513.9,1702226674.68
"391",2020-12-11,540963.08,1702767637.76
"392",2020-12-12,355955.47,1703123593.23
"393",2020-12-13,144840.65,1703268433.88
"394",2020-12-14,10528295.34,1713796729.22
"395",2020-12-15,47366808.58,1761163537.8
"396",2020-12-16,5091633.08,1766255170.88
"397",2020-12-17,1546431.17,1767801602.05
"398",2020-12-18,3637749,1771439351.05
"399",2020-12-19,1645290.62,1773084641.67
"400",2020-12-20,826013.9,1773910655.57
"401",2020-12-21,664057.54,1774574713.11
"402",2020-12-22,1685523.55,1776260236.66
"403",2020-12-23,13537096.13,1789797332.79
"404",2020-12-24,1128314.2,1790925646.99
"405",2020-12-25,553982.47,1791479629.46
